source_page,address,city,province,latitude,longitude
5,Moreno esquina Córdoba S/N,SAUCE,CORRIENTES,-30.086138,-58.791895
5,D.HARDOY Y CHICLANA S/N,CURUZU CUATIA,CORRIENTES,-29.796389,-58.057778
5,Calle p niveiro 730,GOYA,CORRIENTES,-29.150703,-59.247809
5,s/n,GOYA,CORRIENTES,-29.139648,-59.261661
5,Pago largo y B. de Cepeda S/N,GOYA,CORRIENTES,-29.124208,-59.254762
5,Ruta Provincial Nro. 27 Km 902,SANTA LUCIA,CORRIENTES,-28.974181,-59.100953
5,Calle belgrano 772,GOBERNADOR JUAN E. MARTINEZ,CORRIENTES,-28.911696,-58.936821
5,Tacuari 500,9 DE JULIO,CORRIENTES,-28.838936,-58.82137
5,Ing Magno Tvethe 700,PEDRO R. FERNANDEZ,CORRIENTES,-28.75292,-58.656
5,s/n,BELLA VISTA,CORRIENTES,-28.520477,-59.048652
5,Cordoba y 25 de Mayo S/N,BELLA VISTA,CORRIENTES,-28.512372,-59.044944
5,Ruta Nacional 12 Km 940,SALADAS,CORRIENTES,-28.246114,-58.703985
5,Sarmiento e/Av J.Romero y Aviad.Argüello S/N,SAN LUIS DEL PALMAR,CORRIENTES,-27.510301,-58.556233
5,Moreno Acuna 1100,LAGUNA BRAVA,CORRIENTES,-27.499811,-58.719477
5,RP 5 (intersección calle César Alvarez) Km 1,LAGUNA BRAVA,CORRIENTES,-27.486515,-58.770954
5,s/n,CORRIENTES,CORRIENTES,-27.480311,-58.796037
5,Perú esquina Bolivar S/N,CORRIENTES,CORRIENTES,-27.472235,-58.821673
5,Av. Gobernador Ruiz Esq. Estados Unidos S/N,CORRIENTES,CORRIENTES,-27.467838,-58.812733
5,Calle Gob. Rolon y Pampin S/N,CORRIENTES,CORRIENTES,-27.461896,-58.822407
5,Avenida Lavalle 755,RESISTENCIA,CHACO,-27.439396,-58.986537
