source_page,cell_id,latitude,longitude,azimuth_deg,horizontal_aperture_deg,vertical_aperture_deg,coverage_radius_km,signal_strength_dbm,address,city,province
5,,-28.838936,-58.82137,240.0,69.0,,2.106,,Tacuari 500,9 DE JULIO,CORRIENTES
5,,-28.520477,-59.048652,60.0,68.0,,9.126,,s/n,BELLA VISTA,CORRIENTES
5,,-29.150703,-59.247809,350.0,67.0,,3.51,,Calle p niveiro 730,GOYA,CORRIENTES
5,,-29.139648,-59.261661,120.0,69.0,,9.126,,s/n,GOYA,CORRIENTES
5,,-29.139648,-59.261661,240.0,69.0,,2.106,,s/n,GOYA,CORRIENTES
5,,-29.150703,-59.247809,270.0,67.0,,2.106,,Calle p niveiro 730,GOYA,CORRIENTES
5,,-29.139648,-59.261661,0.0,69.0,,7.02,,s/n,GOYA,CORRIENTES
5,,-29.124208,-59.254762,30.0,67.0,,7.956,,Pago largo y B. de Cepeda S/N,GOYA,CORRIENTES
5,,-28.838936,-58.82137,100.0,69.0,,10.296,,Tacuari 500,9 DE JULIO,CORRIENTES
5,,-28.838936,-58.82137,0.0,69.0,,35.2,,Tacuari 500,9 DE JULIO,CORRIENTES
5,,-28.512372,-59.044944,190.0,67.0,,6.05,,Cordoba y 25 de Mayo S/N,BELLA VISTA,CORRIENTES
5,,-28.520477,-59.048652,155.0,68.0,,3.51,,s/n,BELLA VISTA,CORRIENTES
5,,-28.838936,-58.82137,240.0,60.0,,3.011,,Tacuari 500,9 DE JULIO,CORRIENTES
5,,-28.838936,-58.82137,240.0,70.0,,15.807,,Tacuari 500,9 DE JULIO,CORRIENTES
5,,-28.838936,-58.82137,0.0,69.0,,10.296,,Tacuari 500,9 DE JULIO,CORRIENTES
5,,-28.838936,-58.82137,240.0,69.0,,20.0,,Tacuari 500,9 DE JULIO,CORRIENTES
5,,-30.086138,-58.791895,75.0,69.0,,3.042,,Moreno esquina Córdoba S/N,SAUCE,CORRIENTES
5,,-30.086138,-58.791895,170.0,69.0,,7.956,,Moreno esquina Córdoba S/N,SAUCE,CORRIENTES
5,,-29.796389,-58.057778,330.0,69.0,,3.51,,D.HARDOY Y CHICLANA S/N,CURUZU CUATIA,CORRIENTES
5,,-29.796389,-58.057778,60.0,69.0,,1.404,,D.HARDOY Y CHICLANA S/N,CURUZU CUATIA,CORRIENTES
5,,-28.75292,-58.656,120.0,69.0,,35.2,,Ing Magno Tvethe 700,PEDRO R. FERNANDEZ,CORRIENTES
5,,-28.974181,-59.100953,210.0,63.7,,9.126,,Ruta Provincial Nro. 27 Km 902,SANTA LUCIA,CORRIENTES
5,,-28.911696,-58.936821,360.0,360.0,,17.05,,Calle belgrano 772,GOBERNADOR JUAN E. MARTINEZ,CORRIENTES
5,,-27.499811,-58.719477,30.0,67.0,,4.914,,Moreno Acuna 1100,LAGUNA BRAVA,CORRIENTES
5,,-27.467838,-58.812733,130.0,67.0,,2.106,,Av. Gobernador Ruiz Esq. Estados Unidos S/N,CORRIENTES,CORRIENTES
5,,-27.439396,-58.986537,40.0,67.0,,1.404,,Avenida Lavalle 755,RESISTENCIA,CHACO
5,,-27.467838,-58.812733,130.0,67.0,,2.106,,Av. Gobernador Ruiz Esq. Estados Unidos S/N,CORRIENTES,CORRIENTES
5,,-27.472235,-58.821673,130.0,67.0,,2.106,,Perú esquina Bolivar S/N,CORRIENTES,CORRIENTES
5,,-27.472235,-58.821673,350.0,67.0,,1.17,,Perú esquina Bolivar S/N,CORRIENTES,CORRIENTES
5,,-27.461896,-58.822407,250.0,67.0,,1.17,,Calle Gob. Rolon y Pampin S/N,CORRIENTES,CORRIENTES
5,,-27.510301,-58.556233,130.0,67.0,,7.02,,Sarmiento e/Av J.Romero y Aviad.Argüello S/N,SAN LUIS DEL PALMAR,CORRIENTES
5,,-27.486515,-58.770954,270.0,63.7,,2.106,,RP 5 (intersección calle César Alvarez) Km 1,LAGUNA BRAVA,CORRIENTES
5,,-27.480311,-58.796037,240.0,63.7,,2.574,,s/n,CORRIENTES,CORRIENTES
5,,-28.246114,-58.703985,110.0,70.8,,6.084,,Ruta Nacional 12 Km 940,SALADAS,CORRIENTES
