source_page,pais,localidad,departamento,provincia,argentina,bella vista,bella vista_2,corrientes,calle,numero,latitud,longitud,radio de cobertura (km),cordoba y 25 de mayo,s/n,-28.512372,-59.044944,1.638,col_1,-28.520477,-59.048652,1.794,sarmiento e/av j.romero y aviad.argüello,-27.510301,-58.556233,7.02,azimuth,angulo de apertura,60,70,130,67
1,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,GOYA,GOYA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,GOYA,GOYA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,GOYA,GOYA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,GOYA,GOYA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,GOYA,GOYA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,GOYA,GOYA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,SAUCE,SAUCE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,SAUCE,SAUCE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,CURUZU CUATIA,CURUZU CUATIA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,CURUZU CUATIA,CURUZU CUATIA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,PEDRO R. FERNANDEZ,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,SANTA LUCIA,LAVALLE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,GOBERNADOR JUAN E. MARTINEZ,LAVALLE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,LAGUNA BRAVA,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,RESISTENCIA,SAN FERNANDO,CHACO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,SAN LUIS DEL PALMAR,SAN LUIS DEL PALMAR,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,LAGUNA BRAVA,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,CORRIENTES,CAPITAL,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ARGENTINA,SALADAS,SALADAS,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PASO DE LOS LIBRES,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PASO DE LOS LIBRES,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PASO DE LOS LIBRES,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PASO DE LOS LIBRES,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PASO DE LOS LIBRES,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PASO DE LOS LIBRES,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PASO DE LOS LIBRES,PASO DE LOS LIBRES,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,SAUCE,SAUCE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,SAUCE,SAUCE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,BELLA VISTA,BELLA VISTA,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,SANTA LUCIA,LAVALLE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,SANTA LUCIA,LAVALLE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,9 DE JULIO,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ARGENTINA,PEDRO R. FERNANDEZ,SAN ROQUE,CORRIENTES,,,,,,,,,,,,,,,,,,,,,,,,
